Name,mfr,calories,protein,fat,sodium,fibre,carbo,sugars,shelf,potassium,vitamins
100% Bran,N,212.12,12.12,3.03,393.94,30.30,15.15,18.18,3,848.48,enriched
All-Bran,K,212.12,12.12,3.03,787.88,27.27,21.21,15.15,3,969.70,enriched
All-Bran with Extra Fiber,K,100.00,8.00,0.00,280.00,28.00,16.00,0.00,3,660.00,enriched
Apple Cinnamon Cheerios,G,146.67,2.67,2.67,240.00,2.00,14.00,13.33,1,93.33,enriched
Apple Jacks,K,110.00,2.00,0.00,125.00,1.00,11.00,14.00,2,30.00,enriched
Basic 4,G,173.33,4.00,2.67,280.00,2.67,24.00,10.67,3,133.33,enriched
Bran Chex,R,134.33,2.99,1.49,298.51,5.97,22.39,8.96,1,186.57,enriched
Bran Flakes,P,134.33,4.48,0.00,313.43,7.46,19.40,7.46,3,283.58,enriched
Cap'n'Crunch,Q,160.00,1.33,2.67,293.33,0.00,16.00,16.00,2,46.67,enriched
Cheerios,G,88.00,4.80,1.60,232.00,1.60,13.60,0.80,1,84.00,enriched
Cinnamon Toast Crunch,G,160.00,1.33,4.00,280.00,0.00,17.33,12.00,2,60.00,enriched
Clusters,G,220.00,6.00,4.00,280.00,4.00,26.00,14.00,3,210.00,enriched
Cocoa Puffs,G,110.00,1.00,1.00,180.00,0.00,12.00,13.00,2,55.00,enriched
Corn Chex,R,110.00,2.00,0.00,280.00,0.00,22.00,3.00,1,25.00,enriched
Corn Flakes,K,100.00,2.00,0.00,290.00,1.00,21.00,2.00,1,35.00,enriched
Corn Pops,K,110.00,1.00,0.00,90.00,1.00,13.00,12.00,2,20.00,enriched
Count Chocula,G,110.00,1.00,1.00,180.00,0.00,12.00,13.00,2,65.00,enriched
Cracklin' Oat Bran,K,220.00,6.00,6.00,280.00,8.00,20.00,14.00,3,320.00,enriched
Crispix,K,110.00,2.00,0.00,220.00,1.00,21.00,3.00,3,30.00,enriched
Crispy Wheat & Raisins,G,133.33,2.67,1.33,186.67,2.67,14.67,13.33,3,160.00,enriched
Double Chex,R,133.33,2.67,0.00,253.33,1.33,24.00,6.67,3,106.67,enriched
Froot Loops,K,110.00,2.00,1.00,125.00,1.00,11.00,13.00,2,30.00,enriched
Frosted Flakes,K,146.67,1.33,0.00,266.67,1.33,18.67,14.67,1,33.33,enriched
Frosted Mini-Wheats,K,125.00,3.75,0.00,0.00,3.75,17.50,8.75,2,125.00,enriched
Fruit & Fibre: Dates Walnuts and Oats,P,179.10,4.48,2.99,238.81,7.46,17.91,14.93,3,298.51,enriched
Fruitful Bran,K,179.10,4.48,0.00,358.21,7.46,20.90,17.91,3,283.58,enriched
Fruity Pebbles,P,146.67,1.33,1.33,180.00,0.00,17.33,16.00,2,33.33,enriched
Golden Crisp,P,113.64,2.27,0.00,51.14,0.00,12.50,17.05,1,45.45,enriched
Golden Grahams,G,146.67,1.33,1.33,373.33,0.00,20.00,12.00,2,60.00,enriched
Grape Nuts Flakes,P,113.64,3.41,1.14,159.09,3.41,17.05,5.68,3,96.59,enriched
Grape-Nuts,P,440.00,12.00,0.00,680.00,12.00,68.00,12.00,3,360.00,enriched
Great Grains Pecan,P,363.64,9.09,9.09,227.27,9.09,39.39,12.12,3,303.03,enriched
Honey Graham Ohs,Q,120.00,1.00,2.00,220.00,1.00,12.00,11.00,2,45.00,enriched
Honey Nut Cheerios,G,146.67,4.00,1.33,333.33,2.00,15.33,13.33,1,120.00,enriched
Honey-comb,P,82.71,0.75,0.00,135.34,0.00,10.53,8.27,1,26.32,enriched
Just Right Fruit & Nut,K,186.67,4.00,1.33,226.67,2.67,26.67,12.00,3,126.67,100%
Kix,G,73.33,1.33,0.67,173.33,0.00,14.00,2.00,2,26.67,enriched
Life,Q,149.25,5.97,2.99,223.88,2.99,17.91,8.96,2,141.79,enriched
Lucky Charms,G,110.00,2.00,1.00,180.00,0.00,12.00,12.00,2,55.00,enriched
Mueslix Crispy Blend,K,238.81,4.48,2.99,223.88,4.48,25.37,19.40,3,238.81,enriched
Multi-Grain Cheerios,G,100.00,2.00,1.00,220.00,2.00,15.00,6.00,1,90.00,enriched
Nut&Honey Crunch,K,179.10,2.99,1.49,283.58,0.00,22.39,13.43,2,59.70,enriched
Nutri-Grain Almond-Raisin,K,208.96,4.48,2.99,328.36,4.48,31.34,10.45,3,194.03,enriched
Oatmeal Raisin Crisp,G,260.00,6.00,4.00,340.00,3.00,27.00,20.00,3,240.00,enriched
Post Nat. Raisin Bran,P,179.10,4.48,1.49,298.51,8.96,16.42,20.90,3,388.06,enriched
Product 19,K,100.00,3.00,0.00,320.00,1.00,20.00,3.00,3,45.00,100%
Puffed Rice,Q,50.00,1.00,0.00,0.00,0.00,13.00,0.00,3,15.00,none
Quaker Oat Squares,Q,200.00,8.00,2.00,270.00,4.00,28.00,12.00,3,220.00,enriched
Raisin Bran,K,160.00,4.00,1.33,280.00,6.67,18.67,16.00,2,320.00,enriched
Raisin Nut Bran,G,200.00,6.00,4.00,280.00,5.00,21.00,16.00,3,280.00,enriched
Raisin Squares,K,180.00,4.00,0.00,0.00,4.00,30.00,12.00,3,220.00,enriched
Rice Chex,R,97.35,0.88,0.00,212.39,0.00,20.35,1.77,1,26.55,enriched
Rice Krispies,K,110.00,2.00,0.00,290.00,0.00,22.00,3.00,1,35.00,enriched
Shredded Wheat 'n'Bran,N,134.33,4.48,0.00,0.00,5.97,28.36,0.00,1,208.96,none
Shredded Wheat spoon size,N,134.33,4.48,0.00,0.00,4.48,29.85,0.00,1,179.10,none
Smacks,K,146.67,2.67,1.33,93.33,1.33,12.00,20.00,2,53.33,enriched
Special K,K,110.00,6.00,0.00,230.00,1.00,16.00,3.00,1,55.00,enriched
Total Corn Flakes,G,110.00,2.00,1.00,200.00,0.00,21.00,3.00,3,35.00,100%
Total Raisin Bran,G,140.00,3.00,1.00,190.00,4.00,15.00,14.00,3,230.00,100%
Total Whole Grain,G,100.00,3.00,1.00,200.00,3.00,16.00,3.00,3,110.00,100%
Triples,G,146.67,2.67,1.33,333.33,0.00,28.00,4.00,3,80.00,enriched
Trix,G,110.00,1.00,1.00,140.00,0.00,13.00,12.00,2,25.00,enriched
Wheat Chex,R,149.25,4.48,1.49,343.28,4.48,25.37,4.48,1,171.64,enriched
Wheaties,G,100.00,3.00,1.00,200.00,3.00,17.00,3.00,1,110.00,enriched
Wheaties Honey Gold,G,146.67,2.67,1.33,266.67,1.33,21.33,10.67,1,80.00,enriched
